,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0,936,747,226,589,555,720,1210,597,2136,701,427,1940,1933,337,606,669,908,424,746,755,402,665,1589,2169,2082,881,735,1581,542
2,936,0,189,721,849,550,1549,1765,612,2693,1604,806,2599,2591,1135,1258,855,1121,1358,190,1493,1116,271,2295,2533,2625,1765,430,2094,394
3,747,189,0,532,715,407,1373,1631,484,2569,1419,647,2457,2449,955,1091,736,1020,1170,4,1327,938,82,2143,2443,2503,1584,346,1971,205
4,226,721,532,0,587,436,928,1356,505,2297,926,428,2123,2115,520,655,659,939,649,531,939,463,451,1779,2285,2240,1104,587,1724,330
5,589,849,715,587,0,307,805,918,237,1855,942,165,1751,1742,483,1191,81,355,835,711,692,986,664,1452,1755,1789,1053,436,1257,594
6,555,550,407,436,307,0,1025,1224,90,2162,1114,263,2053,2045,630,1091,335,629,925,404,950,896,358,1746,2050,2096,1257,190,1564,304
7,720,1549,1373,928,805,1025,0,663,999,1481,225,764,1244,1238,420,1110,858,864,442,1371,190,961,1297,885,1631,1438,252,1203,999,1182
8,1210,1765,1631,1356,918,1224,663,0,1154,947,878,998,838,830,877,1725,913,699,1080,1627,504,1549,1575,586,981,887,802,1343,371,1489
9,597,612,484,505,237,90,999,1154,0,2087,1106,240,1988,1979,623,1156,252,542,940,481,909,958,442,1687,1964,2021,1238,206,1488,394
10,2136,2693,2569,2297,1855,2162,1481,947,2087,0,1642,1945,348,347,1799,2591,1838,1581,1922,2566,1386,2437,2517,653,535,75,1487,2264,599,2435
11,701,1604,1419,926,942,1114,225,878,1106,1642,0,866,1376,1371,484,967,1006,1058,318,1418,414,848,1340,1014,1834,1606,189,1301,1199,1219
12,427,806,647,428,165,263,764,998,240,1945,866,0,1814,1806,384,1027,243,511,713,644,688,822,583,1496,1881,1882,1000,440,1354,491
13,1940,2599,2457,2123,1751,2053,1244,838,1988,348,1376,1814,0,9,1607,2341,1750,1530,1675,2454,1186,2204,2396,363,830,364,1207,2180,588,2302
14,1933,2591,2449,2115,1742,2045,1238,830,1979,347,1371,1806,9,0,1600,2336,1741,1521,1669,2446,1178,2198,2388,357,826,361,1202,2171,580,2294
15,337,1135,955,520,483,630,420,877,623,1799,484,384,1607,1600,0,874,557,700,359,953,422,683,879,1260,1846,1746,632,817,1248,762
16,606,1258,1091,655,1191,1091,1110,1725,1156,2591,967,1027,2341,2336,874,0,1271,1514,669,1092,1226,205,1022,1979,2705,2548,1148,1237,2087,927
17,669,855,736,659,81,335,858,913,252,1838,1006,243,1750,1741,557,1271,0,298,912,732,733,1066,692,1462,1715,1771,1108,430,1239,634
18,908,1121,1020,939,355,629,864,699,542,1581,1058,511,1530,1521,700,1514,298,0,1053,1016,694,1309,983,1278,1423,1511,1112,691,985,931
19,424,1358,1170,649,835,925,442,1080,940,1922,318,713,1675,1669,359,669,912,1053,0,1168,576,533,1088,1313,2060,1880,507,1114,1433,965
20,746,190,4,531,711,404,1371,1627,481,2566,1418,644,2454,2446,953,1092,732,1016,1168,0,1324,939,81,2140,2439,2500,1581,342,1968,204
21,755,1493,1327,939,692,950,190,504,909,1386,414,688,1186,1178,422,1226,733,694,576,1324,0,1058,1257,840,1485,1336,421,1116,861,1149
22,402,1116,938,463,986,896,961,1549,958,2437,848,822,2204,2198,683,205,1066,1309,533,939,1058,0,864,1842,2526,2391,1035,1050,1916,758
23,665,271,82,451,664,358,1297,1575,442,2517,1340,583,2396,2388,879,1022,692,983,1088,81,1257,864,0,2078,2406,2452,1505,335,1920,123
24,1589,2295,2143,1779,1452,1746,885,586,1687,653,1014,1496,363,357,1260,1979,1462,1278,1313,2140,840,1842,2078,0,1005,634,847,1887,505,1978
25,2169,2533,2443,2285,1755,2050,1631,981,1964,535,1834,1881,830,826,1846,2705,1715,1423,2060,2439,1485,2526,2406,1005,0,483,1718,2108,635,2347
26,2082,2625,2503,2240,1789,2096,1438,887,2021,75,1606,1882,364,361,1746,2548,1771,1511,1880,2500,1336,2391,2452,634,483,0,1456,2196,532,2372
27,881,1765,1584,1104,1053,1257,252,802,1238,1487,189,1000,1207,1202,632,1148,1108,1112,507,1581,421,1035,1505,847,1718,1456,0,1440,1087,1386
28,735,430,346,587,436,190,1203,1343,206,2264,1301,440,2180,2171,817,1237,430,691,1114,342,1116,1050,335,1887,2108,2196,1440,0,1665,350
29,1581,2094,1971,1724,1257,1564,999,371,1488,599,1199,1354,588,580,1248,2087,1239,985,1433,1968,861,1916,1920,505,635,532,1087,1665,0,1842
30,542,394,205,330,594,304,1182,1489,394,2435,1219,491,2302,2294,762,927,634,931,965,204,1149,758,123,1978,2347,2372,1386,350,1842,0